"","x"
"89","CENTERVILLE, Iowa — The second suspect in Thursday's armed robbery of a Centerville gas station is in custody, acco… https://t.co/Z6vKObW4f5"
"90","Want to take a look at #MadCity's new mini robbery??

Watch this --&gt; https://t.co/8io7otu91x

#Roblox #RobloxGame #RobloxVideo @Taymastar"
"91","The Great Easter Grave Robbery - https://t.co/R0XVFtDQRd"
"92","@DudekLinda @connielipnick Thats like saying the Bank Teller didn't put the $100 bills in the bag for him so there was no Bank Robbery"
"93","Came a LONG way from armed robbery 🙏 had to roll up another . #420"
"94","Concealed carry holder, robbery suspect fatally shoot each other: police https://t.co/UIaBDA2uni"
"95","It’s called “attempt” and that in itself is a crime. Like planning a bank robbery but not carrying it out, or only… https://t.co/bN7QOa0dk1"
"96","@ATT ‘s $33 onetime charge to activate an esim on an Apple Watch is highway robbery. @ATTCares phone support couldn… https://t.co/X1c1hce1zs"
"97","@juliaioffe Wow, journalists were absolutely certain that key details were sinister and all were found to be benign… https://t.co/YBNO3L2n9L"
"98","@HawkRaiders @KCCINews Registration in this state is robbery anyways. 1995 Sunfire uses the same amount of road as… https://t.co/gAEVF9iqKB"
"99","in &amp;&amp;&amp; out like a robbery"
"100","@jamieakearns DPD Officers were in the area investigating a robbery, investigation is ongoing."
"101","Cover by:LilBlow Robbery https://t.co/0jFgGgjkbw"
"102","@waltshaub True. Attempted Murder. Attempted Robbery. Attempting to commit a particular crime is a crime. Donald &amp;… https://t.co/tZGVG71yCa"
"103","@WWkrasi Wasting your time bro give up the game is broken in so many ways! Try a different hobby your wasting time… https://t.co/6vgz2ocZK8"
"104","First robbery coming to the robbery game is called “Elixir Factory” you have to activate levers, rob elixir and esc… https://t.co/TWQ7Tnwk6e"
"105","In Chicago, police scripted false confessions to make murders seem like they were committed by ""gangs"" in the drug… https://t.co/VLjPjJLDmB"
"106","Loganville, Ga had a smash and grab #gun store robbery. Criminals will always find a way to keep guns on the streets."
"107","@ArthurG92848910 @thedailybeast In California it is plus public crapping, pot, selling food without a license, driv… https://t.co/mUKISPqPcj"
"108","Morton Ave Subway robbed at gunpoint. https://t.co/pdVKFxkBYG"
"109","BPD seeks help identifying Subway armed robbery suspects https://t.co/fI8dZlvTQ3"
"110","Somali with a Machete Charged with Targeting Target in Robbery Spree https://t.co/6IFOrVA8lJ via @refugeewatcher"
"111","@gallowscalib8or id say accidental robbery is shenanigans enough"
"112","#Muncie man draws 8-year prison term for failed pharmacy robbery; another local man sentenced to five years for hou… https://t.co/2EqVwkZHiO"
