"","x"
"204","@lizncube @Wuddie13 @mthomoyo @mehlulisizwe @theodora_doris Ezababili azingenwa. Oh she also said something about w… https://t.co/dfQra53R6s"
"205","This is animal abuse cats need meat. They are carnivorous animals.  If they want an animal that doesn't eat meat th… https://t.co/Xv4UEXSuZk"
"206","@heyitsCarolyn The real abuse is a couple hours later."
"207","@andylassner Their belts should sue for domestic abuse"
"208","@Education4Libs This is child abuse."
"209","Happens in high-school sports too If #teacher is abusive, you can change classes but if #coaches are abusive you ha… https://t.co/uIyEV93IYo"
"210","MSNBC mueller did not do his job, he turned a blind eye to FISA abuse blind eye to HRC collusion with Russia ,throu… https://t.co/9lHwMi9TUi"
"211","How dare you senator walsh. There are days we don’t pee, drink, or eat. That’s not even mentioning the verbal and p… https://t.co/m3gDOBlh8V"
"212","@Education4Libs Child abuse! Why hasn’t she been turned into authorities?"
"213","Oh @theJagmeetSingh the love and courage I see in you just in that small exerpt is profound.  Thank you for opening… https://t.co/Iy64zTfFV5"
"214","If you're concerned about a child's well-being, want to report/discuss possible abuse/neglect or want advice, call… https://t.co/yVNF3InhPX"
"215","@SenatorRomney Thanks for being one of the few Republicans to speak up against this disgusting abuse of power. You’… https://t.co/rfyHsELNHi"
"216","@RealMyUsername bacon abuse"
"217","Don’t abuse a kind heart, they’re rare and you won’t ever find that shit again"
"218","@Tav_assoli Police brutality exists in a milieu of tactic approval. 

Make all officers in a dept liable for signif… https://t.co/Uz6z273iPm"
"219","Physical/Verbal

There is no difference between physical abuse, and verbal abuse. They both leave a scar, but only… https://t.co/hrDllWeLYS"
"220","https://t.co/uIxgSwsiQ2 is my nonprofit. It fights against childhood sexual abuse. Ask me more about it!

📲 1-888-5… https://t.co/RO1UtgpXwO"
"221","@ECMcLaughlin This is every stalking and/or domestic abuse victim trying to be taken seriously. Welcome to our world, George."
"222","@LoriAnneThomps2 @HarvestBible1 @theGCCollective Absolutely! But, if you know the truth about abuse and fail to say… https://t.co/2GCYqXZYx7"
"223","@crampell 2 fat old white guys who believe they’re entitled &amp; invincible, will continue to use &amp; abuse everyone who… https://t.co/emloCZQbuM"
"224","@MSNBC For everyone worried about how the Clinton Impeachment hurt the Repubs...it’s a different time and Vlinton a… https://t.co/KpDtesnx3b"
"225","@Cycle4 @FruitKace We have been in an abuse cycle for years. The GOP IS the villain - but Dems got conditioned 2 ap… https://t.co/GeryBt1L8d"
"226","@johncardillo WTF! That's animal abuse."
"227","So many of us are supposed to be quiet or risk the stigma of being mentally ill. It will also be used against us by… https://t.co/0F36ZSTBU9"
"228","Dont use racial slurs! They may sound nice, but they may get you in trouble for domestic abuse. Just remember that… https://t.co/IOzTOeMLia"
"229","@OceanKathi Offical special counsel exoneration CLEARS POTUS while opening door to all traitors so that prosecution… https://t.co/VpcQdq6EJt"
"230","@fras99 15 push-ups sounds like the coach’s easy way to explain to the “Donor” of the T-shirt’s that your son was r… https://t.co/grQgneYz1M"
"231","@SenSchumer The Mueller Report shows us that the FISA abuse must be investigated. Drain the Swamp NOW!!!"
"232","@theartdoc Outside of the abuse (which was rage inducing, for sure) the fact that several girls came forward and he… https://t.co/LzZQUVRFqM"
