"","x"
"71","@Wendy_Bacon Instead our so called media are on ground hog day trying to pretend the rape ;'case'' is the issue, th… https://t.co/czAdglQKcC"
"72","@thedeaddontdie @selenagomez @JimJarmusch For those who need translation rape is used in a spiritual sense. I would… https://t.co/ElCBjTV47g"
"73","@Jim_Jordan Great point. I looked. It started with trump and his GOP team actively trying (successfully?) to collud… https://t.co/Zb3cZ03J4u"
"74","The limited series tells the story of the  Central Park Five from the perspective of the teens who were wrongly con… https://t.co/7iTkrmVy1c"
"75","@GHardstark @KarenKilgariff Old cold-cases solved!
https://t.co/oGMWGDxvpv"
"76","@gtconway3d And apparently it’s also OK to ignore rape https://t.co/Ey481rXPIF"
"77","Pregnant from rape, mom chooses life: He isn't my rapist's baby, he's mine https://t.co/9399QdMHEe"
"78","@StefanieMarotta What bothers men that they cannot stand to see women coming home from a party, to the point where… https://t.co/MIypCs1n0E"
"79","@crampell The low IQ 🇷🇺🐘🐸white nationalist con men OxyContin-Adderall play on a bogey par 🇷🇺RU asset and “like my d… https://t.co/3QBKRRVB6m"
"80","Christians murder and rape all the time Bob. Stop being a fucking clown and use your top knot. #BenghaziBob… https://t.co/erUqtTNHzx"
"81","@MyUKAncestors @Ancestry Please, in the face of overwhelming pain and offense as shown by @oliviacodes and so many… https://t.co/1EDUgD0Rdg"
"82","@Jay2thePNY Just a problematic phrasing for me. You can say Giannis will dominate KD if you’re so inclined (wrong,… https://t.co/PULQn2vP8V"
"83","@drazowsky @GovMikeHuckabee I don’t know whom you referred regarding rape. But the president repented his past cond… https://t.co/07h2oWIua5"
"84","@factsmatter2020 @Talkmaster Homicides are &lt; 2% of all crime in America. The culture of violence among blacks also… https://t.co/JCEHCtOn0z"
"85","Cage, rape, beat, drug, and kill THEIR children instead of everybody else's https://t.co/ywF8LF947X"
"86","@AmyBlondell @DICEY63 @IngrahamAngle @FoxNews @WisenbergSol @pnjaban Amy, who is supporting them? You guys want to… https://t.co/kp1LGhwLTM"
"87","Palace intrigue is not good for the Church nor is blaming homosexuality for sex abuse. Dishonest men have taken vow… https://t.co/HuDIesSLNU"
"88","47. Not That Bad: Dispatches from Rape Culture edited by Roxane Gay (audiobook).
• This was a difficult but necessa… https://t.co/Nw83YSGts5"
"89","If you claim to be an anti-sexual violence nonprofit and have chosen to support institutions notorious with how the… https://t.co/BzSrq6QLjb"
"90","@LikkleShrimpy Rape/Statutory rape/carnal abuse. The minor is legally not competent to consent."
"91","@SenGillibrand The media should be covering you more. You are campaigning in such a meaningful way that's focused o… https://t.co/5zHJ8E2CdU"
"92","@VviewSsonicMair @3L3V3NTH No one becomes leader of a country forever by being a good man Like Trump ,Putin got rid… https://t.co/nn5i0W5wuF"
"93","@DeepStateExpose And they push rape for underage girls."
"94","At 13 Alicia was groomed, kidnapped, and raped. Now her rapist is being released and relocated less than 4 miles fr… https://t.co/6B6PYVEX9B"
"95","@TheLakerLion I remember Lumen, I just mistook her name for Hannah. To let you know how long my ass aint watched I… https://t.co/KN8AujKsAQ"
"96","@ByronYork Are we sick yet?  Then we need to ban every movie from the 1970!  It’s seems kind of strange that they w… https://t.co/z0UEaoOq7Y"
"97","Catching up on #RHOBH and @TheRealCamilleG is auditioning for @KellyannePolls or @SarahHuckabee job. She can spin r… https://t.co/JL3YYXvIut"
"98","@ETbutdrippy i'd have to guess so if you think of it from a legal standpoint it would likely count as two counts of… https://t.co/rX6zW1Q4Cq"
"99","How did I miss this?! YES. #EndTheBackLog #TestEveryKit https://t.co/2U9n3w6VGC"
"100","@SheenJanine @TruAmericanPat @pistrix @PPact You know what else....those Neanderthals also self aborted. Abortion h… https://t.co/UGoGh6qbXR"
"101","@Public_Affairs4 Jacobin gets a bump in being less horrible, by not being rape apologists."
"102","great quote!
.
#healingtree #healingtrauma #nonprofit #abuse #trauma #ptsd #cptsd #childabuse #strength… https://t.co/YtwOEcfiNo"
"103","Montgomery Co. schools hire outside adviser in investigation of locker-room rape allegations | WTOP https://t.co/a9iyYqx9SH via @WTOP"
"104","@ShingenPizza @thunderf00t If Carl would have said “I won’t rape you” that would have been clear, but the word “eve… https://t.co/KKHaVp1GsS"
"105","@ThunderHeadFan @Ange_Amene @OutstandingWC I’d like to think I’m very openly against Bernie. I’m insulted they call… https://t.co/aFFy2IVpAY"
"106","It’s almost as if we live in a rigged game of monopoly where people can rape and pillage the planet and exploit peo… https://t.co/rKGyHMCFV7"
"107","@SheenJanine @TruAmericanPat @pistrix @PPact This is single-handily the stupidest thing I've read from a supposed *… https://t.co/imw94wq8u0"
"108","@BigBlack50cal You good but....not rape lol 😩"
"109","@jefftrunnelle @ashtonpittman He has no remorse. If he did, he would have handled the Baylor rape problem differently."
"110","@ChrChristensen @KimberlyMrsR1 By then, your women will be wearing burkas and your ""men""?... They'll probably still… https://t.co/SA1gnUktzc"
"111","@brendatracy24 So, are you able to have him charged with rape? Is there an active or completed investigation? Make… https://t.co/j2sHktyNdk"
"112","@apistone BYU does seem to manage to have a bad track record around Title IX (punishing rape survivors for pre-mari… https://t.co/dc7ukd5WO1"
"113","""Chief executive of China's https://t.co/B1zp8orboN back in spotlight over civil suit accusation of rape,"" reports… https://t.co/VTBG76omIS"
"114","@DICEY63 @IngrahamAngle @FoxNews @WisenbergSol @pnjaban Louis, from the first day he ran he called Mexicans rapists… https://t.co/F0qvrVNaxT"
"115","@BridledScold @Judith_Char @33ang3lcuddles 1 in 5, a familiar statistic to feminists, is the rate of violence commi… https://t.co/KeYMM4T1nT"
"116","@AmericanAir Rape city"
"117","This mother of 2 was jailed for failure to pay traffic tickets; raped by a jailer; placed in solitary after reporti… https://t.co/SSlbFkeg7D"
"118","@witch_moony I mean, isnt it illegal to pay a woman less for the same work? Is rape not illegal? Opportunity will n… https://t.co/C92tFQGBFX"
"119","@Sister_Maabena @YAMghana @UNFPAGHANA @PPAGGhana @yamafrica @abena_xxx @KogozigaCaesar @BlessedIreneS @IPPFAR… https://t.co/EJHBdcTflJ"
"120","@TheWantedEmcees @PoliticalShort Biden delivered 2013 “rape” speech,  which he said that women fear getting “raped… https://t.co/7wcQ1L5KMO"
"121","@PilledDem @RZimms @SJT_MAGA @ThereseOSulliv2 @BillWrh1970 @keith32541 @RobertMabr @GracieLovesUSA @UTHornsRawk… https://t.co/ZvZIt7B1Ny"
"122","self love is a major piece of healing! 
.
#healingtree #healingtrauma #nonprofit #abuse #trauma #ptsd #cptsd… https://t.co/oFpVHMEC1s"
"123","Perfectly fits direction of their master: Mandir me jane wale rape karte hain https://t.co/7bfxZRAC97"
"124","God must hate women. He’s still punishing Eve by using females to be the victims of rape, abuse, discrimination, et… https://t.co/FbWdcNhR2o"
"125","According to statistics from the Yemeni Ministry of Human Rights, the number of children recruited by the Houthis i… https://t.co/tXSgrlBsqI"
"126","@EmmaRoseTeitel Another Uber driver assaulting a female passenger!?  Its not just very ugly but utterly stupid. Do… https://t.co/FGb6k19Si0"
"127","@MotherJones This is F’ed up. Next thing will be to put rape victims on trial for doing things that left the rapist… https://t.co/qGT5uK6BtA"
"128","@jcamachott @DustinWheelerLW @HumansAreApes True, but the rapist would say that our claim that rape is objectively… https://t.co/BIbCHOxwlV"
"129","Boyfriend’s horror as he is left helplessly watching woman’s rape on his cellphone | UK | Information… https://t.co/VRVN9PObeb"
"130","I don't give a crap if some literal line backer wants to put on lipstick and a tutu. What I do care about is when h… https://t.co/eRZxhoj2r3"
"131","Sweden considers request to reopen rape investigation of Julian Assange https://t.co/gG1SK3M0lp by @RobertMackey"
"132","@RealMattCouch The Left Demorats approve of protecting lawbreakers the left want to embrace these terrible lawbreak… https://t.co/k3w7qLhw5Y"
"133","I'd add that if a rape incurs and the rapist is ""under the influence"" of Viagra, the doctor &amp; the pharmacutical ind… https://t.co/KNzc4T7bIA"
"134","@capone_dean @julietcuthbert @JulietHolness @LisaHannamp @Babsy_grange @reggaesharon @annmarievazja @djmillerJA I w… https://t.co/dRhzBmD90B"
"135","@PattyArquette So, just for the record, you are defending sexual abuse, sexual  assault and rape!?!?! What a lovely… https://t.co/GvVdt8iTdC"
"136","@theonlyshaquana That’s rape"
"137","@MollyBrown28 No, but women who abuse, hurt and rape others are."
"138","@DVATW @BeliaK7 IF YOUR A MAN IN THE U.K AND YOU DON'T STAND UP TO THE MUSLIM THUG'S  THAT GO AROUND AND RAPE WOMAN… https://t.co/lZtvwXuvBb"
"139","The radical left breeds white nationalism? It sounds like this psychoanalists needs a psychoanalyst. News flash: wo… https://t.co/XKFZWrddS7"
"140","@ndrew_lawrence Ken Starr also said that you shouldn't report rape because it is bad for the football team."
"141","Horrifying thread. (CW: rape &amp; violence)
Why is it that nothing can be done about harassment like this? https://t.co/4v2UNUMe72"
"142","@lucyesp88 @ahealy77 @Cranky_Old_Ref Tis a fair argument in target alright but as a defence in a rape case, maybe not so much"
"143","@TheRightMelissa @AprilDRyan There is no comparison whatsoever &amp; you know better. I noticed you posted this video t… https://t.co/CvWmrOuh1e"
"144","💬If Oklahoma state GOP Rep. @GeorgeFaught has his way, rape will be on the path to being legal in the state. At lea… https://t.co/h0VfEMU4AL"
"145","A Fayetteville man has been arrested in connection with a rape reported in 2018.
https://t.co/f6Aoq5FiXG https://t.co/tk1tuz9VTU"
"146","@jonfitztv @ZenPopArt @Direct234567 @CarberyRobert @Yamiche Why does the media never hold dems accountable? Lt. gov… https://t.co/aE1DjBWyyA"
"147","@CatholicProdigy @MsuTrump @perojunak @JohnBarrESPN @pinepaula @nicole_noren @DanMurphyESPN @DwayneBrayESPN… https://t.co/JTCaONaRMl"
"148","Damn nasty motherfucker and you worship this shit.. THIS IS WHY THEY RAPE YOUR DAMN KIDS..... https://t.co/SaxUOG3hlV"
"149","@drantoniomorris If I TRIED to kill someone, assault, extort, rape, steal from, or defraud someone it is still crim… https://t.co/1Xs7qumhRI"
