"","x"
"92","@Alex__Katz @jentaub @gtconway3d Attempted murder is a crime of attempt. I've known several people guilty of attemp… https://t.co/i5uNyD6AEl"
"93","It’s 420, but it’s also the 20th anniversary of Columbine.
Remember kids, smoking marijuana will make you murder people."
"94","Wife of Ku Klux Klan state leader admits to killing husband https://t.co/1zGpmTZClw"
"95","I’m gonna murder one of my dogs smh"
"96","If y’all listen to podcasts, definitely check out Hell and Gone about the Rebecca Gould murder case"
"97","@_SJPeace_ It’s absurd. People get less for murder or drunk drivin with “accidental homicide”!  Our system is so screwed up."
"98","What are you plans tonight? How about some MURDER and perhaps a little MYSTERY? 

Come out to see if you can figure… https://t.co/Rfv3Tww2Ra"
"99","@Independent She found a way to stop the hate when nobody would listen! I don’t agree murder was the right way, but… https://t.co/jXBJre7EiI"
"100","@CBSNews Plunging is what you do to a clogged toilet, this was attempted murder but sure - oopsie!"
"101","@Lazytncajun43 @DillonMThomas @steph93065 @CBSDenver @CSP_News @jimbcbs4 @CBS4Dom @karenleightv @CBSNews… https://t.co/IQHR5UF9Fz"
"102","@GoodAndBadHabit @RawMixedNuts @deserttrumpster @ProofPatriot5 @J_MAGA @lastcha20457049 @krassenstein… https://t.co/6wW0byvnWM"
"103","@_Jer_i that flaaffy looks like its about to murder its family or sth lmao (great drawing as usual!)"
"104","disgusting craft of torture &amp; mass-murder of the Libyans (most notably the loyal soldiers to Gaddafi.) The Moriarty… https://t.co/0JrJNDVsQV"
"105","Second unknown female corpse found in Mitseros #Cyprus #Mitseros #Nicosia #crime #missing #murder #Philippines… https://t.co/XFz4Gimh2I"
"106","The Joy Of Black Saturday

God is with you right now, right in the middle of your circumstance, right in the middle… https://t.co/KZkjULlFBL"
"107","DENISE SWANSON ~ Murder of Cranky Catnapper : Scumble River Mystery 2016 #forsale #booksale #usedbook #bargain =&gt;&gt;… https://t.co/w9AtLp8ycH"
"108","Suspects arrested in murder of queer reporter https://t.co/EKfmAtoq7y https://t.co/O5e6xpm0ec"
"109","@levandino @1904rv135 @historylvrsclub I’m not justifying murder and I’m not saying the U.S is a perfect country no… https://t.co/vCson9Iheu"
"110","Police: Man charged with attempted murder after carrying woman into path of dump truck https://t.co/VXoLLwznNj https://t.co/499CTJdhyI"
"111","Police: Man charged with attempted murder after carrying woman into path of dump truck https://t.co/W58uJCTisQ https://t.co/agCE6V8kQi"
"112","@EireSaoradh Incursion? Explain to me how the PSNI can have an incursion into any estate in Northern Ireland? You a… https://t.co/AXw9U5vOiD"
"113","I swear if one person says ""guess what day it is"" tomorrow I'm going to make their murder look like an accident."
"114","@IlhanMN If he did, it would of been seen by US AMERICANS. At least he didn’t MURDER ANY OF MILITARY MEN OR INNOCEN… https://t.co/CS1tmJxLuW"
"115","Reviewer RJNANNASMUM says “Another Lantern Beach thriller-kept me on the edge of my seat and had me on pins and nee… https://t.co/1X7hCgW5DE"
"116","@brocktonian1991 @realDonaldTrump @POTUS If you attempt a crime, let’s say murder, even if you fail it a crime."
"117","North Carolina Gov. Roy Cooper Vetoes Bill Protecting Abortion Survivors from Infanticide

Liberals love children E… https://t.co/Yi3z0Qwh9B"
"118","Alas, a religious fear turns me from murder and draws me to capital structure"
"119","@DeathMedieval WHY IS THE VALUE OF THE MURDER WEAPON IMPORTANT"
"120","Full list of qualifications for a 5 star Uber rating:

1. Driver did not murder me"
